,FIPS,County,Year,FIR,IncomePerCapita,FinalUR,FinalCPM,MajorityRace
0,1001,"Autauga, Alabama",2021,13.3,48347,2.8,3.6,White
1,1003,"Baldwin, Alabama",2021,11.8,54659,2.9,4.07,White
2,1005,"Barbour, Alabama",2021,17.8,40428,5.5,3.46,White
3,1007,"Bibb, Alabama",2021,14.9,36892,3.4,3.29,White
4,1009,"Blount, Alabama",2021,13.7,42634,2.4,3.24,White
5,1011,"Bullock, Alabama",2021,15.6,33267,3.9,3.86,White
6,1013,"Butler, Alabama",2021,13.8,46050,5.1,3.29,White
7,1015,"Calhoun, Alabama",2021,15.6,42621,4.0,3.62,White
8,1017,"Chambers, Alabama",2021,13.3,39728,3.6,3.28,White
9,1019,"Cherokee, Alabama",2021,14.7,43719,2.5,3.33,White
10,1021,"Chilton, Alabama",2021,15.4,41748,2.8,3.5,White
11,1023,"Choctaw, Alabama",2021,15.7,44241,4.3,3.36,White
12,1025,"Clarke, Alabama",2021,16.3,45232,5.8,3.3,White
13,1027,"Clay, Alabama",2021,15.0,38705,2.7,3.19,White
14,1029,"Cleburne, Alabama",2021,15.5,42836,2.6,3.65,White
15,1031,"Coffee, Alabama",2021,14.6,49196,2.8,3.87,White
16,1033,"Colbert, Alabama",2021,14.9,44279,3.9,3.79,White
17,1035,"Conecuh, Alabama",2021,12.7,41656,4.7,3.34,White
18,1037,"Coosa, Alabama",2021,12.7,38275,3.0,3.56,White
19,1039,"Covington, Alabama",2021,15.9,41458,3.0,3.32,White
20,1041,"Crenshaw, Alabama",2021,13.3,46038,3.3,3.9,White
21,1043,"Cullman, Alabama",2021,14.4,46061,2.3,3.69,White
22,1045,"Dale, Alabama",2021,16.1,43916,3.1,3.52,White
23,1047,"Dallas, Alabama",2021,16.1,41850,7.1,3.49,White
24,1049,"DeKalb, Alabama",2021,16.1,40026,2.5,3.25,White
25,1051,"Elmore, Alabama",2021,11.6,47381,2.7,3.78,White
26,1053,"Escambia, Alabama",2021,17.1,39363,4.0,3.33,White
27,1055,"Etowah, Alabama",2021,15.0,42558,4.0,3.63,White
28,1057,"Fayette, Alabama",2021,17.3,41672,3.0,3.24,White
29,1059,"Franklin, Alabama",2021,14.6,40810,2.5,3.08,White
30,1061,"Geneva, Alabama",2021,19.0,41569,2.8,3.47,White
31,1063,"Greene, Alabama",2021,21.2,40461,6.5,4.02,White
32,1065,"Hale, Alabama",2021,16.4,44085,5.5,4.02,White
33,1067,"Henry, Alabama",2021,12.7,51184,3.1,3.85,White
34,1069,"Houston, Alabama",2021,14.7,50976,3.3,3.81,White
35,1071,"Jackson, Alabama",2021,16.6,43565,2.8,3.27,White
36,1073,"Jefferson, Alabama",2021,12.7,62371,3.5,4.0,White
37,1075,"Lamar, Alabama",2021,16.8,40114,3.0,3.24,White
38,1077,"Lauderdale, Alabama",2021,13.7,44804,3.1,3.63,White
39,1079,"Lawrence, Alabama",2021,15.0,42996,2.9,3.24,White
40,1081,"Lee, Alabama",2021,13.4,45002,2.8,4.07,White
41,1083,"Limestone, Alabama",2021,11.9,50326,2.4,3.96,White
42,1085,"Lowndes, Alabama",2021,16.2,48852,8.7,3.88,White
43,1087,"Macon, Alabama",2021,12.9,38412,5.8,4.01,White
44,1089,"Madison, Alabama",2021,11.2,59852,2.6,3.8,White
45,1091,"Marengo, Alabama",2021,15.4,47008,4.2,3.51,White
46,1093,"Marion, Alabama",2021,17.7,40939,2.8,3.24,White
47,1095,"Marshall, Alabama",2021,14.6,44416,2.4,3.42,White
48,1097,"Mobile, Alabama",2021,14.0,46418,4.6,3.7,White
49,1099,"Monroe, Alabama",2021,16.0,42872,5.5,3.35,Black
50,1101,"Montgomery, Alabama",2021,14.1,50337,4.7,3.83,Black
51,1103,"Morgan, Alabama",2021,13.8,47479,2.6,3.7,White
52,1105,"Perry, Alabama",2021,20.0,40414,7.9,3.54,White
53,1107,"Pickens, Alabama",2021,16.7,43039,4.0,3.63,White
54,1109,"Pike, Alabama",2021,14.0,44659,3.2,3.86,White
55,1111,"Randolph, Alabama",2021,14.5,41750,2.7,3.21,White
56,1113,"Russell, Alabama",2021,15.7,39378,3.0,3.53,White
57,1115,"St. Clair, Alabama",2021,13.0,47117,2.6,3.75,White
58,1117,"Shelby, Alabama",2021,9.5,64350,2.1,4.09,White
59,1119,"Sumter, Alabama",2021,17.0,38253,4.4,3.52,White
60,1121,"Talladega, Alabama",2021,15.6,40668,4.0,3.38,White
61,1123,"Tallapoosa, Alabama",2021,14.8,48344,3.9,3.56,White
62,1125,"Tuscaloosa, Alabama",2021,12.4,43439,3.5,4.09,White
63,1127,"Walker, Alabama",2021,17.4,47239,3.5,3.4,White
64,1129,"Washington, Alabama",2021,13.6,45956,4.6,3.3,White
